INGRÉDIENTS,EFFET 1,EFFET 2,EFFET 3,EFFET 4
Riz,Regain de fatigue,Silence,Bouclier de foudre,Dégâts d'intelligence
Riz de sel,Regain de points de fatigue,Magie fortifiée,Atténuation de force,Regain de santé
Rose rouge,Résistance au froid,Guérison du poison,Réduction de santé,Invisibilité
Rubis,Atténuation de santé,Plume,Regain d'intelligence,Atténuation d'agilité
Ruche Vide,Résistance au Poison,Renfort d'Armure Légère,Renfort de Furtivité,Renfort de Destruction
Russule phosphorescente,Respiration aquatique,Atténuation de fatigue,Poison,/
Savon de sload,Atténuation de personnalité,Agilité fortifiée,Bouclier de feu,Regain d'agilité
Seigle des prés,Rapidité fortifiée,Réduction de santé,Regain de rapidité,Atténuation de rapidité
Sel de feu,Atténuation de santé,Agilité fortifiée,Résistance au froid,Bouclier de feu
Sel de feu,Dégâts de feu,Résistance au froid,Regain de magie,Bouclier de feu
Sel de Feu,Vulnérabilité à la Glace,Résistance au Feu,Restauration de Magie,Regain magique
Sel de givre,Atténuation de rapidité,Regain de magie,Bouclier de froid,Résistance au feu
Sel de givre,Dégâts de froid,Résistance au feu,Silence,Bouclier de froid
Sel de Givre,Vulnérabilité au Feu,Résistance à la Glace,Restauration de Magie,Renfort de Conjuration
Sel des cendres,Atténuation d'agilité,Résistance à la magie,Guérison du fléau,Résistance à la magie
Sel du Néant,Vulnérabilité à la Foudre,Résistance à la Magie,Pénalité de Santé,Renfort de Magie
Sel du vide,Regain de magie,Absorption de sort,Paralysie,Atténuation d'endurance
Sel du vide,Regain de magie,Réduction de santé,Fortification de magie,Dissipation
Serre d'Harfreuse,Résistance à la Magie,Pénalité de Magie persistante,Renfort d'Enchantement,Renfort de Marchandage
Sève de Spriggan,Dégâts Magie Récupération,Renfort d'Enchantement,Renfort de Forgeage,Renfort d'Altération
Soie de daédra,Fardeau,Vision nocturne,Caméléon,Dégâts d'endurance
Soie de daédra,Fardeau,Vision nocturne,Caméléon,Dégâts d'endurance
Solanacée,Réduction de santé,Fardeau,Dégâts de chance,Fortification de magie
Spore d'Hydne géant bleu,Regain d'endurance,Détection de vie,Fortification de santé,Bouclier de froid
Stalhrim brut,Résistance au froid,Dégât de type froid,Paralysie,Regain de santé
Suc digestif d'orque,Réduction de santé,Réduction de fatigue,Réduction de magie,Regain de fatigue
Sucre de lune,Rapidité fortifiée,Dissipation,Atténuation d'endurance,Atténuation de chance
Sucrelune,Vulnérabilité au Feu,Résistance à la Glace,Restauration de Magie,Regain magique
Tabac,Regain de fatigue,Résistance à la paralysie,Réduction de magie,Dissipation
Tas de Sel,Vulnérabilité à la Magie,Renfort de Guérison,Langueur,Regain magique
Tentacule des marais,Regain de personnalité,Respiration aquatique,Marche sur l'eau,Fortification de santé
Thorax de Flammouche,Restauration de Vigueur,Pénalité de Magie persistante,Vulnérabilité à la Magie,Renfort de Vigueur
Tige de Chardon,Résistance à la Glace,Vigueur endommagée,Résistance au Poison,Renfort d'Armure Lourde
Tige de flamme,Regain de santé,Dégâts de feu,Bouclier de froid,Invisibilité
Tige de Glycine,Réduction de santé,Dégâts de volonté,Dégâts d'intelligence,Fortification de rapidité
Tige de névol,Réduction de santé,Rapidité fortifiée,Regain de rapidité,Atténuation de rapidité
Tomate,Regain de fatigue,Détection de vie,Fardeau,Bouclier
Tourte du berger,Guérison de la maladie,Bouclier,Fortification d'agilité,Dissipation
Truffe de Namira,Pénalité de Magie,Renfort de Crochetage,Peur,Régénération de Santé
Tubercule lumineux,Marche sur l'eau,Paralysie,Détection des animaux,Atténuation de volonté
Tumescine,Atténuation de magie,Intelligence fortifiée,Volonté fortifiée,Détection des animaux
Venin de daedra,Paralysie,Regain de fatigue,Réduction de santé,Réflexion des dégâts
Venin de daedra,Paralysie,Regain de fatigue,Réduction de santé,Réflexion des dégâts
Verre brut,Atténuation d'intelligence,Atténuation de force,Atténuation de rapidité,Bouclier de feu
Vertgrain brut,Atténuation de fatigue,Atténuation de santé,Atténuation de magie,Atténuation d'intelligence
Viande de chien,Regain de points de fatigue,Points de fatigue fortifiés,Fardeau,Nage rapide
Viande de rat,Atténuation de magie,Paralysie,Guérison du poison,Résistance au poison
Viande de rat,Réduction de fatigue,Détection de vie,Réduction de magie,Silence
Vil-blé,Regain de santé,Volonté fortifiée,Paralysie,Atténuation d'intelligence
Voile Ethéré,Restauration de Vigueur,Renfort de Destruction,Renfort de Portage,Résistance à la Magie
